genus,species
Cyprinus,carplo
Spinibarbus,sinensis
Fundulus,grandis
Asterias,rubens
Ophiothrix,fragilis
Amphiura,filiformis
Pringleophaga,marioni
Hemigrapsus,crenulatus
Myoxocephalus,scorpius
Saccostrea,glomerata
Bovallia,giantea
Gondogeneia,antarctica
Tor,putitora
Crassostrea,corteziensis
Lithasia,obovata
Gambusia,holbrooki
Forsterygion,lapillum
Haliotis,laevigata
Haliotis,rubra x laev
Argopecten,purpuratus
Chordata,rerio
Sillaginodes,punctatus
Gadus,morhua L.
Merlanguis,merlangus
Mytilus,coruscus
Silurus,meridionalis
Panulirus,argus
Daphina,ambigua
Stenotrema,leai
Orconectes,nais
Prochilodus,scrofa
Ostrea,edulis
Ptychocheilus,oregonensis
Messor,capensis
Horabagrus,brachysoma
Catla,catla
Cirrhinus,mrigala
Halozetes,marinus
Halozetes,fulvus
Podacarus,auberti
Halozetes,belgicae
Zoarces,viviparous
Sitophilus,oryzae
Ooeidozyga,laevis
Enithares,sp
Pagothenia,borchgrevincki
Macquaria,novemaculaeta
Gadus,macrocephalus
Rana,vergatipes
Marenzelleria,viridis
Mytilus,spp
Chromis,tematensis
Neopomacentrus,bankieri
Heterometrus,fulvipes
Zoarces,americanus
Macrobiotus,harmsworthi
Onchorhynchus,clarki
Daphina,magna
Eisenia,foetida
Uta,mearnsi
Oreochromis,niloticus
Puntius,schwanenfeldii
Actinia,equina
Paraceradocus,gibber
Pyganodon,cataracta
Utterbackia,imbecillis
Procambarus,zonangulus
Scartichthys,viridis
Tenebrio,obscurus
Limax,maximus
Philomycus,carolinianus
Idotea,emarginata
Pinctata,mazatlantica
Oreochromis,mossambicus
Arenicola,marina
Fenneropanaeus,chinensis
Pomonix,annularis
Pomonix,nigromaculatus
Chiloscyllium,plagiosum
Strongylocentrotus,purpuratus
Haliotis,midae
Lacerta,lilfordi
Ligia,oceanica
